wellness_sleep,wellness_stress,wellness_fatigue,wellness_soreness,wellness_mood,date,player
5,5,5,5,5,2017-12-09T00:00:00.000Z,Player15
5,5,5,5,5,2017-12-12T00:00:00.000Z,Player15
5,5,5,5,5,2017-12-13T00:00:00.000Z,Player15
5,5,5,4,5,2017-12-14T00:00:00.000Z,Player15
5,5,5,5,5,2017-12-15T00:00:00.000Z,Player15
5,5,5,5,5,2017-12-16T00:00:00.000Z,Player15
4,5,4,4,5,2017-12-20T00:00:00.000Z,Player15
4,4,4,4,4,2017-12-28T00:00:00.000Z,Player15
4,4,4,5,5,2018-01-06T00:00:00.000Z,Player15
4,5,5,5,5,2018-01-07T00:00:00.000Z,Player15
4,5,5,5,5,2018-01-08T00:00:00.000Z,Player15
5,5,4,5,5,2018-01-09T00:00:00.000Z,Player15
4,5,4,5,5,2018-01-10T00:00:00.000Z,Player15
5,5,3,5,5,2018-01-11T00:00:00.000Z,Player15
5,5,4,5,5,2018-01-12T00:00:00.000Z,Player15
1,5,4,5,5,2018-01-13T00:00:00.000Z,Player15
4,5,5,5,5,2018-01-14T00:00:00.000Z,Player15
5,5,4,5,5,2018-01-15T00:00:00.000Z,Player15
5,5,4,5,5,2018-01-16T00:00:00.000Z,Player15
5,5,4,4,5,2018-01-17T00:00:00.000Z,Player15
5,5,5,3,5,2018-01-18T00:00:00.000Z,Player15
5,5,5,4,5,2018-01-19T00:00:00.000Z,Player15
5,5,4,4,5,2018-01-20T00:00:00.000Z,Player15
5,5,5,5,5,2018-01-21T00:00:00.000Z,Player15
3,4,3,3,5,2018-01-22T00:00:00.000Z,Player15
5,5,4,4,5,2018-01-23T00:00:00.000Z,Player15
5,5,4,4,5,2018-01-24T00:00:00.000Z,Player15
4,5,4,5,5,2018-01-25T00:00:00.000Z,Player15
4,4,2,3,4,2018-01-26T00:00:00.000Z,Player15
5,5,5,5,5,2018-01-29T00:00:00.000Z,Player15
5,5,5,5,5,2018-01-30T00:00:00.000Z,Player15
5,5,4,5,5,2018-01-31T00:00:00.000Z,Player15
5,5,5,3,5,2018-02-01T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-02T00:00:00.000Z,Player15
5,5,4,5,5,2018-02-03T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-04T00:00:00.000Z,Player15
5,5,4,3,5,2018-02-07T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-08T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-09T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-10T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-11T00:00:00.000Z,Player15
3,4,2,2,5,2018-02-12T00:00:00.000Z,Player15
5,5,4,4,5,2018-02-14T00:00:00.000Z,Player15
5,5,5,4,5,2018-02-15T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-16T00:00:00.000Z,Player15
5,5,3,2,5,2018-02-18T00:00:00.000Z,Player15
5,5,4,3,5,2018-02-19T00:00:00.000Z,Player15
5,5,5,4,5,2018-02-20T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-21T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-22T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-23T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-24T00:00:00.000Z,Player15
5,4,5,5,5,2018-02-25T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-26T00:00:00.000Z,Player15
5,5,5,5,5,2018-02-27T00:00:00.000Z,Player15
5,5,5,5,5,2018-03-01T00:00:00.000Z,Player15
5,5,4,5,5,2018-03-02T00:00:00.000Z,Player15
3,5,5,5,5,2017-08-03T03:00:00.000Z,Player9
5,5,3,5,5,2017-08-04T03:00:00.000Z,Player9
5,5,5,4,5,2017-07-17T02:00:00.000Z,Player9
5,5,5,3,5,2017-07-20T02:00:00.000Z,Player9
5,5,5,5,5,2017-07-24T02:00:00.000Z,Player9
5,5,5,5,5,2017-07-25T02:00:00.000Z,Player9
5,5,5,5,5,2017-08-01T02:00:00.000Z,Player9
5,5,5,5,5,2017-08-02T02:00:00.000Z,Player9
5,5,4,4,5,2017-08-07T02:00:00.000Z,Player9
3,5,4,5,5,2017-08-08T02:00:00.000Z,Player9
4,5,4,5,5,2017-08-09T02:00:00.000Z,Player9
4,4,5,4,4,2017-08-09T03:00:00.000Z,Player9
5,5,4,5,5,2017-08-11T02:00:00.000Z,Player9
5,5,4,5,5,2017-08-12T02:00:00.000Z,Player9
5,5,4,5,5,2017-08-13T02:00:00.000Z,Player9
3,4,4,5,4,2017-08-16T02:00:00.000Z,Player9
5,5,4,5,5,2017-08-18T02:00:00.000Z,Player9
5,5,5,3,4,2017-08-21T00:00:00.000Z,Player9
5,5,5,3,5,2017-08-20T00:00:00.000Z,Player9
5,5,4,5,5,2017-08-19T00:00:00.000Z,Player9
5,5,5,3,5,2017-08-23T00:00:00.000Z,Player9
4,5,4,5,5,2017-09-24T00:00:00.000Z,Player9
5,5,4,4,4,2017-09-25T00:00:00.000Z,Player9
5,5,5,3,5,2017-09-26T00:00:00.000Z,Player9
5,5,5,4,5,2017-09-27T00:00:00.000Z,Player9
5,5,5,5,5,2017-09-29T00:00:00.000Z,Player9
5,5,5,5,5,2017-09-28T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-03T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-04T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-09T00:00:00.000Z,Player9
5,5,4,5,5,2017-10-10T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-11T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-12T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-14T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-13T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-15T00:00:00.000Z,Player9
4,4,4,4,4,2017-10-26T00:00:00.000Z,Player9
4,4,4,4,4,2017-10-27T00:00:00.000Z,Player9
5,5,5,5,5,2017-10-29T00:00:00.000Z,Player9
4,4,5,4,4,2017-10-31T00:00:00.000Z,Player9
4,4,4,4,4,2017-11-01T00:00:00.000Z,Player9
5,5,5,5,5,2017-11-02T00:00:00.000Z,Player9
5,5,5,5,5,2017-11-03T00:00:00.000Z,Player9
4,4,4,4,4,2017-11-08T00:00:00.000Z,Player9
5,5,5,2,4,2017-11-11T00:00:00.000Z,Player9
5,5,5,3,5,2017-11-13T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-14T00:00:00.000Z,Player9
3,3,5,4,4,2017-11-15T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-16T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-17T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-18T00:00:00.000Z,Player9
4,5,5,4,5,2017-11-19T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-20T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-21T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-22T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-23T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-24T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-25T00:00:00.000Z,Player9
4,5,5,4,5,2017-11-26T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-27T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-28T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-29T00:00:00.000Z,Player9
5,5,5,4,5,2017-11-30T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-01T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-02T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-05T00:00:00.000Z,Player9
3,5,4,4,5,2017-12-06T00:00:00.000Z,Player9
4,5,4,4,5,2017-12-07T00:00:00.000Z,Player9
5,5,5,5,5,2017-12-08T00:00:00.000Z,Player9
5,5,5,5,5,2017-12-09T00:00:00.000Z,Player9
5,5,5,5,5,2017-12-10T00:00:00.000Z,Player9
4,4,4,4,4,2017-12-11T00:00:00.000Z,Player9
5,5,4,4,5,2017-12-12T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-13T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-14T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-15T00:00:00.000Z,Player9
5,5,5,4,5,2017-12-16T00:00:00.000Z,Player9
4,5,4,5,5,2018-01-06T00:00:00.000Z,Player9
4,5,4,5,5,2018-01-07T00:00:00.000Z,Player9
4,5,4,5,5,2018-01-08T00:00:00.000Z,Player9
3,5,3,5,5,2018-01-09T00:00:00.000Z,Player9
4,5,4,5,5,2018-01-10T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-11T00:00:00.000Z,Player9
4,5,3,5,5,2018-01-12T00:00:00.000Z,Player9
4,5,3,4,5,2018-01-13T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-14T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-15T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-16T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-17T00:00:00.000Z,Player9
5,5,4,5,5,2018-01-18T00:00:00.000Z,Player9
4,4,4,4,4,2018-01-19T00:00:00.000Z,Player9
4,4,4,4,4,2018-01-20T00:00:00.000Z,Player9
5,5,4,4,5,2018-01-21T00:00:00.000Z,Player9
4,4,4,4,4,2018-01-22T00:00:00.000Z,Player9
5,5,5,4,5,2018-01-23T00:00:00.000Z,Player9
4,4,4,4,4,2018-01-24T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-25T00:00:00.000Z,Player9
3,4,3,4,4,2018-01-26T00:00:00.000Z,Player9
4,4,4,4,5,2018-01-29T00:00:00.000Z,Player9
5,5,5,4,5,2018-01-30T00:00:00.000Z,Player9
4,5,4,4,5,2018-01-31T00:00:00.000Z,Player9
5,5,5,3,5,2018-02-01T00:00:00.000Z,Player9
5,5,5,3,5,2018-02-02T00:00:00.000Z,Player9
5,5,5,5,5,2018-02-07T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-08T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-09T00:00:00.000Z,Player9
5,5,5,3,5,2018-02-12T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-14T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-15T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-18T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-19T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-20T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-21T00:00:00.000Z,Player9
5,4,5,4,4,2018-02-22T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-24T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-25T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-26T00:00:00.000Z,Player9
5,5,5,4,5,2018-02-27T00:00:00.000Z,Player9
5,4,4,4,4,2018-03-01T00:00:00.000Z,Player9
5,5,5,4,5,2018-03-02T00:00:00.000Z,Player9
4,4,4,4,4,2017-08-06T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-11T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-12T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-13T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-14T02:00:00.000Z,Player1
4,5,3,5,4,2017-07-15T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-17T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-18T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-19T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-20T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-21T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-22T02:00:00.000Z,Player1
4,5,4,4,4,2017-07-23T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-24T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-25T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-26T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-27T02:00:00.000Z,Player1
4,5,4,4,4,2017-07-28T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-29T02:00:00.000Z,Player1
4,5,4,5,5,2017-07-30T02:00:00.000Z,Player1
5,5,5,5,5,2017-07-31T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-01T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-02T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-03T02:00:00.000Z,Player1
2,4,3,3,3,2017-08-04T02:00:00.000Z,Player1
4,4,3,4,4,2017-08-07T02:00:00.000Z,Player1
4,4,4,4,4,2017-08-08T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-09T02:00:00.000Z,Player1
3,5,5,5,5,2017-08-10T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-11T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-12T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-13T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-16T02:00:00.000Z,Player1
5,5,5,5,5,2017-08-18T02:00:00.000Z,Player1
5,5,5,3,5,2017-08-22T00:00:00.000Z,Player1
3,5,3,3,3,2017-08-21T00:00:00.000Z,Player1
5,5,5,5,5,2017-08-20T00:00:00.000Z,Player1
5,5,5,5,5,2017-08-19T00:00:00.000Z,Player1
5,5,5,3,5,2017-08-23T00:00:00.000Z,Player1
5,5,5,5,5,2017-09-24T00:00:00.000Z,Player1
5,5,5,5,5,2017-09-25T00:00:00.000Z,Player1
5,5,5,5,5,2017-09-26T00:00:00.000Z,Player1
5,5,5,5,5,2017-09-27T00:00:00.000Z,Player1
5,5,5,5,5,2017-09-29T00:00:00.000Z,Player1
5,5,5,5,5,2017-09-28T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-02T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-03T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-04T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-09T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-10T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-11T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-12T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-14T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-13T00:00:00.000Z,Player1
4,4,4,4,4,2017-10-15T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-16T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-17T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-20T00:00:00.000Z,Player1
3,4,3,3,3,2017-10-21T00:00:00.000Z,Player1
4,4,4,4,4,2017-10-22T00:00:00.000Z,Player1
5,5,5,4,5,2017-10-23T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-25T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-26T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-27T00:00:00.000Z,Player1
5,5,5,5,5,2017-10-29T00:00:00.000Z,Player1
5,5,5,4,4,2017-10-31T00:00:00.000Z,Player1
5,5,5,4,5,2017-11-01T00:00:00.000Z,Player1
5,5,5,4,5,2017-11-02T00:00:00.000Z,Player1
5,5,5,4,5,2017-11-03T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-08T00:00:00.000Z,Player1
3,3,3,3,3,2017-11-11T00:00:00.000Z,Player1
5,5,5,3,5,2017-11-13T00:00:00.000Z,Player1
5,5,5,3,5,2017-11-14T00:00:00.000Z,Player1
5,5,5,3,5,2017-11-15T00:00:00.000Z,Player1
5,5,5,3,5,2017-11-16T00:00:00.000Z,Player1
5,5,5,3,5,2017-11-17T00:00:00.000Z,Player1
5,5,5,4,5,2017-11-18T00:00:00.000Z,Player1
5,5,5,4,5,2017-11-19T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-20T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-21T00:00:00.000Z,Player1
4,5,4,5,5,2017-11-22T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-23T00:00:00.000Z,Player1
4,5,5,5,5,2017-11-24T00:00:00.000Z,Player1
3,4,4,5,4,2017-11-25T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-26T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-27T00:00:00.000Z,Player1
5,5,5,5,5,2017-11-28T00:00:00.000Z,Player1
4,3,4,4,4,2017-11-29T00:00:00.000Z,Player1
5,5,3,4,4,2017-11-30T00:00:00.000Z,Player1
5,5,4,5,5,2017-12-01T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-02T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-05T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-06T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-07T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-08T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-09T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-10T00:00:00.000Z,Player1
4,4,4,3,4,2017-12-11T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-12T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-13T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-14T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-15T00:00:00.000Z,Player1
5,5,5,5,5,2017-12-16T00:00:00.000Z,Player1
4,5,4,5,4,2018-01-06T00:00:00.000Z,Player1
5,5,4,4,5,2018-01-07T00:00:00.000Z,Player1
4,5,4,5,5,2018-01-08T00:00:00.000Z,Player1
3,5,4,5,4,2018-01-09T00:00:00.000Z,Player1
5,5,3,5,4,2018-01-10T00:00:00.000Z,Player1
4,4,3,5,4,2018-01-11T00:00:00.000Z,Player1
4,5,4,5,4,2018-01-12T00:00:00.000Z,Player1
4,5,4,5,4,2018-01-13T00:00:00.000Z,Player1
4,5,4,5,4,2018-01-14T00:00:00.000Z,Player1
5,5,3,5,4,2018-01-15T00:00:00.000Z,Player1
4,5,5,5,5,2018-01-16T00:00:00.000Z,Player1
4,5,4,5,4,2018-01-17T00:00:00.000Z,Player1
4,5,3,5,4,2018-01-18T00:00:00.000Z,Player1
5,5,4,5,5,2018-01-19T00:00:00.000Z,Player1
5,5,5,5,5,2018-01-20T00:00:00.000Z,Player1
5,5,5,5,4,2018-01-21T00:00:00.000Z,Player1
4,5,4,5,5,2018-01-22T00:00:00.000Z,Player1
5,5,5,5,5,2018-01-23T00:00:00.000Z,Player1
5,5,5,5,5,2018-01-24T00:00:00.000Z,Player1
5,5,5,5,5,2018-01-25T00:00:00.000Z,Player1
4,5,3,5,4,2018-01-26T00:00:00.000Z,Player1
4,5,4,5,5,2018-01-29T00:00:00.000Z,Player1
4,5,5,5,5,2018-01-31T00:00:00.000Z,Player1
5,5,4,5,5,2018-02-01T00:00:00.000Z,Player1
4,5,5,5,5,2018-02-02T00:00:00.000Z,Player1
5,5,5,5,5,2018-02-03T00:00:00.000Z,Player1
4,5,5,5,5,2018-02-04T00:00:00.000Z,Player1
5,5,4,5,5,2018-02-07T00:00:00.000Z,Player1
4,5,4,5,5,2018-02-08T00:00:00.000Z,Player1
5,5,5,3,5,2018-02-09T00:00:00.000Z,Player1
5,5,5,4,5,2018-02-10T00:00:00.000Z,Player1
4,5,5,5,5,2018-02-11T00:00:00.000Z,Player1
3,5,3,3,3,2018-02-12T00:00:00.000Z,Player1
4,5,4,5,5,2018-02-14T00:00:00.000Z,Player1
4,5,5,5,5,2018-02-15T00:00:00.000Z,Player1
5,5,5,5,5,2018-02-16T00:00:00.000Z,Player1
4,5,4,5,5,2018-02-18T00:00:00.000Z,Player1
4,5,5,5,5,2018-02-19T00:00:00.000Z,Player1
4,5,5,5,5,2018-02-20T00:00:00.000Z,Player1
5,5,5,4,5,2018-02-21T00:00:00.000Z,Player1
5,5,5,5,5,2018-02-22T00:00:00.000Z,Player1
5,5,5,5,5,2018-02-23T00:00:00.000Z,Player1
4,4,4,3,4,2018-02-24T00:00:00.000Z,Player1
5,5,5,3,3,2018-02-25T00:00:00.000Z,Player1
4,5,5,4,5,2018-02-26T00:00:00.000Z,Player1
5,5,5,4,4,2018-02-27T00:00:00.000Z,Player1
4,5,5,5,5,2018-03-01T00:00:00.000Z,Player1
5,5,5,5,5,2018-03-02T00:00:00.000Z,Player1
4,4,3,3,4,2017-08-06T02:00:00.000Z,Player13
3,3,3,5,5,2017-07-19T02:00:00.000Z,Player13
2,3,3,5,4,2017-07-20T02:00:00.000Z,Player13
3,5,3,4,5,2017-07-21T02:00:00.000Z,Player13
4,4,3,3,4,2017-07-22T02:00:00.000Z,Player13
3,4,3,4,4,2017-07-23T02:00:00.000Z,Player13
4,4,4,4,4,2017-07-24T02:00:00.000Z,Player13
4,4,4,4,4,2017-07-25T02:00:00.000Z,Player13
4,4,4,4,4,2017-07-26T02:00:00.000Z,Player13
4,4,4,4,4,2017-07-27T02:00:00.000Z,Player13
3,4,4,4,4,2017-07-28T02:00:00.000Z,Player13
4,4,4,4,4,2017-07-29T02:00:00.000Z,Player13
4,4,4,4,4,2017-07-30T02:00:00.000Z,Player13
3,3,2,4,5,2017-07-31T02:00:00.000Z,Player13
4,4,3,4,4,2017-08-01T02:00:00.000Z,Player13
4,4,4,4,4,2017-08-02T02:00:00.000Z,Player13
4,4,4,4,4,2017-08-03T02:00:00.000Z,Player13
2,2,2,4,4,2017-08-04T02:00:00.000Z,Player13
3,4,4,4,4,2017-08-07T02:00:00.000Z,Player13
